id,title,document
1,갯지렁이,"크릴 미끼가 등장하기 전, 1980년대까지만 해도 바다낚시의 대표적인 미끼로 꼽혔던 갯지렁이는 그 종류가 수없이 많다. 환형동물(環形動物) 가운데 가장 많은 종류를 차지하는데 세계적으로 약 8천여 종이 서식하는 것으로 알려져 있다. 육지에 서식하는 빈모류(貧毛類)의 일반 지렁이들도 사실은 바다의 다모류(多毛類) 일부가 거처를 옮겨 변화된 것이고, 빈모류 중에서 다시 담수로 흘러들어간 것이 오늘날의 거머리가 되었다고 한다.

갯지렁이의 특징은 대부분 혈관이 잘 발달되어 있다는 점이다. 그래서 헤모글로빈(hemoglobin) 혈액을 함유하는 종류는 붉은색을 띠고, 클로로크루오린(chlorocruorin)을 함유한 종류는 녹색을 띤다. 우리가 흔히 보는 갯지렁이 종류의 색깔이 붉은색 또는 녹색인 이유도 바로 이 때문이다. 이 두 가지 색깔의 갯지렁이 가운데 낚시 미끼로 흔히 사용하는 종류는 2~4가지가 꼽힌다. 붉은색 계통의 참갯지렁이(일본명 · 혼무시)와 홍갯지렁이, 녹색 계통의 청갯지렁이와 강화산 청갯지렁이가 그 대표적이다.
"
2,크릴,"외형이 작은 새우를 닮은 갑각류이다. '크릴새우' 혹은 '남극새우'로 부르는 까닭에 새우의 일종이라고 생각하지만 사실은 새우가 아니다. 크릴(krill)이라는 말은 원래 노르웨이의 포경선 어부들이 고래의 먹이가 되는 다양한 종류의 부유성 갑각류를 부르던 말로 '고래밥' 혹은 '작은 치어'라는 뜻을 갖고 있다. 물고기의 사료 및 낚시미끼로서의 용도가 가장 큰 비중을 차지하고 있다.

크릴 미끼는 언제 어디서건 손쉽게 구입해 사용할 수 있도록 상품화됨으로써 오늘날 바다낚시 미끼 시장의 주류를 이루고 있다. 크기와 냉동 상태에 따라 미끼용과 밑밥용으로 구분하는데, 미끼용은 아무런 가공을 하지 않은 알크릴이 있는가 하면 첨가물을 넣거나 열을 가해 살짝 익힌 제품 등 다양한 가공 제품들이 있다."
3,바다새우,"중하새우, 대하가 주로 사용된다. 중하껍질을 까서 설탕에 절인 후 말려서 사용한다. 새우 대가리에 살짝 바늘을 끼워두면 물속에서도 잘 살아있어 물고기를 유인한다."
4,오징어살,크고 희기 때문에 시각적 효과가 크다. 굉장히 질기기 때문에 바늘에서 잘 떨어지지 않는다.
5,생선살,"냄새가 많이 나는 꽁치, 고등어, 비린내가 많이 나는 전갱이 등을 사용한다. 현장에서 잡은 작은 물고기는 육식성 어종의 미끼가 된다."
6,민물새우,"바다새우 보다 민물새우가 살아 있는 상태로도 저렴하다. 크릴보다 잡어에 강한 편이다. 따라서 가을에 위력을 발휘하는 미끼이다.
"
7,조갯살,"바지락, 꼬막, 홍합을 많이 사용한다. 생으로 사용해도 되지만, 살짝 삶아서 사용하면 편하다. 갯바위에 뭍어 있는 보말, 굴을 따서 살만 파서 사용할 경우에는 감성돔, 돌돔도 잘 잡힌다."
8,개불,"질기기로는 가장 질긴 미끼이다. 낚싯대를 강하게 캐스팅해서 빠지지 않지만 잡어의 입질이 없다. 특정 어종(참돔, 감성돔, 광어, 붕장어, 농어)을 노릴 때 사용하면 좋다.

큰 것보다 작은 것을 구입해서 한 마리를 통으로 사용하는것이 추천된다."
9,게,"갯바위에서 흔히 보이는 검붉은 게는 딱딱해서 미끼로 좋지 않다. 갯벌에서 잡히는 말랑말랑한 게가 미끼로 좋고, 너무 크지도 작지도 않은, 등껍질이 엄지 손톱만 한 것을 골라서 집게발만 떼고 바늘을 등 쪽에 관통시켜서 사용한다. 감성돔 4호 정도로 큰 바늘을 써서 입질을 받고 충분히 기다렸다가 채야 바늘이 설 걸려서 빠지지 않는다."
10,옥수수,"옥수수는 전통적인 대어낚시 미끼의 일종이다. 그러나 옛 선조들이 옥수수를 한 알씩 꿰어서 다양한 씨알의 붕어를 낚은 것에 반해 오늘날에는 옥수수 알갱이를 2~3알씩 한 바늘에 겹쳐 꿰어서 대어를 노리는 미끼로 사용한다. 

만약 옥수수를 한 알씩 꿰어 낚시하면 중치 붕어도 곧잘 입질하므로 대어낚시 미끼로는 적합하지 않다. 옥수수를 직접 삶아서 쓰는 이도 있지만 대개 옥수수 통조림에 든 것을 미끼로 사용하고 있다"
